ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Basic,Uknown,Indirect,InfoDish, WV,BAD,AM6-HOR-21K,Broadband Remote,DW6000 Upgrade,Female,37,1,Unkown,0,N,0,,,,,,
Active,Basic_Ltd,Web orders,Indirect,TAG, TX,GOOD,AM9-VER-22K,Spaceway,DW6000 Upgrade,Male,41,6,0,Unkown,N,0,,,,,,
Active,Power150,Web orders,Indirect,RS&I, AR,BAD,Unkown,Broadband Remote,National Sales,Female,29,0,1,1,Unknown,0,,,,,,
Active,Home,Vars,Indirect,OROURKE BROTHERS, NC,Unkown,SM5-VER-7K,Spaceway,DW6000 Upgrade,Male,55,0,1,0,N,0,,,,,,
Active,Basic,Uknown,Indirect,Perfect 10, TX,GOOD,AM6-HOR-21K,Broadband Remote,Retail       ,Male,54,0,0,Unkown,N,0,,,,,,
Active,Unknown,Sales Agents,Indirect,Perfect 10, WA,BAD,SM5-VER-5K,Broadband Remote,Dealer-Generated Sale,Female,66,0,0,0,Unknown,0,,,,,,
Active,Proplus,Sales Agents,Indirect,RS&I, GA,GOOD,AM6-HOR-21K,Spaceway,Dial Return Upgrade,Female,56,9,1,0,N,0,,,,,,
Active,Power150,Uknown,Indirect,NCC, IL,Unkown,SM5-VER-15K,Spaceway,DW6000 Upgrade,Female,71,4,2,0,N,0,,,,,,
Active,Elite,Sales Agents,Indirect,ACS Pre-Install, WY,Unkown,G16-VER-21K,Spaceway,Direct,Male,35,4,0,0,Y,0,,,,,,
Active,Power150,Uknown,Direct,RS&I, UT,GOOD,HZN2-VER-5K,Broadband Remote,Retail       ,Male,25,6,0,Unkown,Unknown,0,,,,,,
Active,Pro,Web orders,Direct,NRTC, FL,Unkown,SM5-HOR-14K,Broadband Remote,Retail       ,Female,50,3,1,1,Unknown,0,,,,,,
Active,Elite,Call Center,Indirect,Hughes Web Order, CA,BAD,SPACEWAY3,Spaceway,Retail,Male,56,0,1,1,N,0,,,,,,
Active,Unknown,Uknown,Indirect,Perfect 10, MD,Unkown,Unkown,Broadband Remote,DW6000 Upgrade,Female,63,5,1,0,Unknown,0,,,,,,
Active,Elite,Call Center,Indirect,TAG, UT,GOOD,AM9-VER-2K ,Broadband Remote,DW6000 Upgrade,Male,46.79,0,0,Unkown,Unknown,0,,,,,,
